"","sample","matrix","collect_date","lab_sample","sample_type","location","rec_date","anl_batch","prp_batch","extraction_code","extracted_date","analyte","dissolved","cas_number","analyte_flag","analytical_method","result","resultflag","repdl","units","analytical_cut","initial_wt_vol","final_vol","amount_spiked","percent_recovered","rec_limit_low","rec_limit_high","initial_conc","sample_rpd","rpd_limit_low","rpd_limit_high","rep_sig_digs","allowable_limit","analysis_group","method_order","analyte_order","analyst","loq","lod","detection_limit","lab_name","extracted_date_time","collect_time","rec_time","run_time","run_date","extracted_time","dilution_factor","average","time_collected","time_received","time_extracted","time_analyzed","cas_no","sample_condition","note","monitoring_location_name","monitoring_location_id","epa_analysis_id","context_code"
"1","1212207001_MS_FOR_[WXX13700]","Water",2021-05-06,"1610770","MS","",2021-05-06,"WDA4979","WXX13700","SM21 4500P-B,E",2021-05-18,"Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.232,"=",0.02,"mg/L",1,25,25,0.2,98.9,75,125,0.0339,NA,NA,NA,3,"","Waters Department",20,266,"EWW",0.04,0.02,0.012,"SGS North America, Anchorage, Alaska",2021-05-18 14:53:00,10:36:00,16:15:00,18:44:00,2021-05-18,14:53:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-P-E","APHA"
"2","1212207001_MSD_FOR_[WXX13700]","Water",2021-05-06,"1610771","MSD","",2021-05-06,"WDA4979","WXX13700","SM21 4500P-B,E",2021-05-18,"Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.248,"=",0.02,"mg/L",1,25,25,0.2,107,75,125,0.0339,"6.9",0,25,3,"","Waters Department",20,266,"EWW",0.04,0.02,0.012,"SGS North America, Anchorage, Alaska",2021-05-18 14:53:00,10:36:00,16:15:00,18:45:00,2021-05-18,14:53:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-P-E","APHA"
"3","1212275001_MS_FOR_[WFI2930]","Water",2021-05-06,"1610220","MS","",2021-05-11,"WFI2930","","",NA,"Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.64,"=",0.1,"mg/L",2,5,5,5,113,90,110,0,NA,NA,NA,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05,"SGS North America, Anchorage, Alaska",NA,13:50:00,09:07:00,11:39:00,2021-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-NO3(F)","APHA"
"4","1212275001_MSD_FOR_[WFI2930]","Water",2021-05-06,"1610221","MSD","",2021-05-11,"WFI2930","","",NA,"Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.61,"=",0.1,"mg/L",2,5,5,5,112,90,110,0,"0.63",0,25,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05,"SGS North America, Anchorage, Alaska",NA,13:50:00,09:07:00,11:41:00,2021-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-NO3(F)","APHA"
"5","1212334001_MS_FOR_[WFI2930]","Water",2021-05-11,"1610222","MS","",2021-05-12,"WFI2930","","",NA,"Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.97,"=",0.1,"mg/L",2,5,5,5,115,90,110,0.2,NA,NA,NA,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05,"SGS North America, Anchorage, Alaska",NA,10:30:00,09:44:00,13:06:00,2021-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-NO3(F)","APHA"
"6","1212334001_MSD_FOR_[WFI2930]","Water",2021-05-11,"1610223","MSD","",2021-05-12,"WFI2930","","",NA,"Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.89,"=",0.1,"mg/L",2,5,5,5,114,90,110,0.2,"1.4",0,25,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05,"SGS North America, Anchorage, Alaska",NA,10:30:00,09:44:00,13:07:00,2021-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-NO3(F)","APHA"
"7","1212341014MS","Water",2021-05-11,"1610775","MS","",2021-05-12,"WDA4979","WXX13700","SM21 4500P-B,E",2021-05-18,"Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.198,"=",0.02,"mg/L",1,25,25,0.2,98.8,75,125,0,NA,NA,NA,3,"","Waters Department",20,266,"EWW",0.04,0.02,0.012,"SGS North America, Anchorage, Alaska",2021-05-18 14:53:00,07:21:00,08:16:00,19:07:00,2021-05-18,14:53:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-P-E","APHA"
"8","1212341014MSD","Water",2021-05-11,"1610776","MSD","",2021-05-12,"WDA4979","WXX13700","SM21 4500P-B,E",2021-05-18,"Total Phosphorus","T","Total Phosph.","N","SM21 4500P-B,E",0.202,"=",0.02,"mg/L",1,25,25,0.2,101,75,125,0,"2.4",0,25,3,"","Waters Department",20,266,"EWW",0.04,0.02,0.012,"SGS North America, Anchorage, Alaska",2021-05-18 14:53:00,07:21:00,08:16:00,19:08:00,2021-05-18,14:53:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-P-E","APHA"
"9","1212341018MS","Water",2021-05-11,"1610224","MS","",2021-05-12,"WFI2930","","",NA,"Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",6.14,"=",0.1,"mg/L",2,5,5,5,118,90,110,0.225,NA,NA,NA,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05,"SGS North America, Anchorage, Alaska",NA,09:15:00,08:16:00,13:51:00,2021-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-NO3(F)","APHA"
"10","1212341018MSD","Water",2021-05-11,"1610225","MSD","",2021-05-12,"WFI2930","","",NA,"Total Nitrate/Nitrite-N",".","Nitrate+Nitrite","N","SM21 4500NO3-F",5.87,"=",0.1,"mg/L",2,5,5,5,113,90,110,0.225,"4.4",0,25,3,"","Waters Department",20,11,"EBH",0.2,0.1,0.05,"SGS North America, Anchorage, Alaska",NA,09:15:00,08:16:00,13:53:00,2021-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-NO3(F)","APHA"
